case:concept:name,concept:name,Resource,time:timestamp,Variant,Variant index,Variant.1,seriousness,customer,product,responsible_section,seriousness_2,service_level,service_type,support_section,workgroup
Case 1012,Resolve ticket,Value 2,2010/05/28 15:38:45.000,Variant 1,1,Variant 1,Value 1,Value 182,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1021,Assign seriousness,Value 6,2010/05/18 14:59:36.000,Variant 1,1,Variant 1,Value 1,Value 5,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1021,Take in charge ticket,Value 2,2010/05/19 08:08:06.000,Variant 1,1,Variant 1,Value 1,Value 5,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1021,Resolve ticket,Value 2,2010/05/20 10:17:39.000,Variant 1,1,Variant 1,Value 1,Value 5,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1030,Assign seriousness,Value 2,2010/02/04 09:40:52.000,Variant 115,115,Variant 115,Value 1,Value 110,Value 3,Value 3,Value 2,Value 2,Value 1,Value 6,Value 1
Case 1030,Assign seriousness,Value 2,2010/02/04 09:41:05.000,Variant 115,115,Variant 115,Value 1,Value 110,Value 3,Value 3,Value 1,Value 2,Value 1,Value 6,Value 1
Case 1030,Take in charge ticket,Value 2,2010/02/04 09:41:23.000,Variant 115,115,Variant 115,Value 1,Value 110,Value 3,Value 3,Value 1,Value 2,Value 1,Value 6,Value 1
Case 1030,Create SW anomaly,Value 2,2010/02/04 09:41:33.000,Variant 115,115,Variant 115,Value 1,Value 110,Value 3,Value 3,Value 1,Value 2,Value 1,Value 6,Value 1
Case 1030,Resolve ticket,Value 2,2010/02/22 14:05:31.000,Variant 115,115,Variant 115,Value 1,Value 110,Value 3,Value 3,Value 1,Value 2,Value 1,Value 6,Value 1
Case 1044,Assign seriousness,Value 2,2010/05/13 14:45:13.000,Variant 20,20,Variant 20,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1044,Take in charge ticket,Value 16,2010/05/17 16:21:00.000,Variant 20,20,Variant 20,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1044,Resolve ticket,Value 16,2010/05/17 17:10:24.000,Variant 20,20,Variant 20,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1044,Take in charge ticket,Value 16,2010/05/18 08:21:15.000,Variant 20,20,Variant 20,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1044,Wait,Value 16,2010/05/18 08:44:56.000,Variant 20,20,Variant 20,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1044,Take in charge ticket,Value 16,2010/05/18 09:26:17.000,Variant 20,20,Variant 20,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1044,Resolve ticket,Value 16,2010/05/18 09:28:09.000,Variant 20,20,Variant 20,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1080,Insert ticket,Value 11,2010/06/09 10:33:30.000,Variant 37,37,Variant 37,Value 1,Value 243,Value 3,Value 1,Value 4,Value 2,Value 2,Value 1,Value 1
Case 1080,Assign seriousness,Value 11,2010/06/09 10:33:39.000,Variant 37,37,Variant 37,Value 1,Value 243,Value 3,Value 1,Value 4,Value 2,Value 2,Value 1,Value 1
Case 1080,Take in charge ticket,Value 11,2010/06/09 10:34:14.000,Variant 37,37,Variant 37,Value 1,Value 243,Value 3,Value 1,Value 4,Value 2,Value 2,Value 1,Value 1
Case 1080,Wait,Value 11,2010/06/09 10:50:30.000,Variant 37,37,Variant 37,Value 1,Value 243,Value 3,Value 1,Value 4,Value 2,Value 2,Value 1,Value 1
Case 1080,Take in charge ticket,Value 11,2010/06/30 15:52:44.000,Variant 37,37,Variant 37,Value 1,Value 243,Value 3,Value 1,Value 4,Value 2,Value 2,Value 1,Value 1
Case 1080,Resolve ticket,Value 11,2010/06/30 15:54:13.000,Variant 37,37,Variant 37,Value 1,Value 243,Value 3,Value 1,Value 4,Value 2,Value 2,Value 1,Value 1
Case 1097,Assign seriousness,Value 2,2010/04/08 13:02:28.000,Variant 117,117,Variant 117,Value 1,Value 73,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 1
Case 1097,Take in charge ticket,Value 2,2010/04/08 13:02:52.000,Variant 117,117,Variant 117,Value 1,Value 73,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 1
Case 1097,Create SW anomaly,Value 2,2010/04/09 09:34:14.000,Variant 117,117,Variant 117,Value 1,Value 73,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 1
Case 1097,Resolve ticket,Value 2,2010/05/03 15:25:42.000,Variant 117,117,Variant 117,Value 1,Value 73,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 1
Case 1097,Take in charge ticket,Value 6,2010/05/06 07:41:12.000,Variant 117,117,Variant 117,Value 1,Value 73,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 1
Case 1097,Resolve ticket,Value 12,2010/05/06 13:36:31.000,Variant 117,117,Variant 117,Value 1,Value 73,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 1
Case 1099,Assign seriousness,Value 14,2010/06/23 15:01:22.000,Variant 1,1,Variant 1,Value 1,Value 92,Value 9,Value 1,Value 2,Value 2,Value 2,Value 1,Value 1
Case 1099,Take in charge ticket,Value 16,2010/06/28 11:07:41.000,Variant 1,1,Variant 1,Value 1,Value 92,Value 9,Value 1,Value 2,Value 2,Value 2,Value 1,Value 1
Case 1099,Resolve ticket,Value 16,2010/06/28 11:08:00.000,Variant 1,1,Variant 1,Value 1,Value 92,Value 9,Value 1,Value 2,Value 2,Value 2,Value 1,Value 1
Case 1121,Assign seriousness,Value 2,2010/04/28 13:40:05.000,Variant 1,1,Variant 1,Value 1,Value 47,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1121,Take in charge ticket,Value 2,2010/05/12 09:51:57.000,Variant 1,1,Variant 1,Value 1,Value 47,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1121,Resolve ticket,Value 2,2010/05/12 09:52:03.000,Variant 1,1,Variant 1,Value 1,Value 47,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1130,Assign seriousness,Value 2,2010/02/09 16:07:04.000,Variant 1,1,Variant 1,Value 1,Value 88,Value 3,Value 4,Value 4,Value 2,Value 1,Value 3,Value 1
Case 1130,Take in charge ticket,Value 2,2010/02/09 16:07:11.000,Variant 1,1,Variant 1,Value 1,Value 88,Value 3,Value 4,Value 4,Value 2,Value 1,Value 3,Value 1
Case 1130,Resolve ticket,Value 2,2010/02/09 16:07:18.000,Variant 1,1,Variant 1,Value 1,Value 88,Value 3,Value 4,Value 4,Value 2,Value 1,Value 3,Value 1
Case 1151,Assign seriousness,Value 6,2010/05/24 16:34:26.000,Variant 1,1,Variant 1,Value 1,Value 34,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1151,Take in charge ticket,Value 15,2010/06/29 16:11:34.000,Variant 1,1,Variant 1,Value 1,Value 34,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1151,Resolve ticket,Value 15,2010/06/29 16:18:05.000,Variant 1,1,Variant 1,Value 1,Value 34,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1173,Assign seriousness,Value 2,2010/06/22 14:33:44.000,Variant 123,123,Variant 123,Value 1,Value 11,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1173,Take in charge ticket,Value 2,2010/06/30 15:24:53.000,Variant 123,123,Variant 123,Value 1,Value 11,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1173,Wait,Value 2,2010/07/01 09:02:51.000,Variant 123,123,Variant 123,Value 1,Value 11,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1173,Take in charge ticket,Value 2,2010/07/06 09:36:29.000,Variant 123,123,Variant 123,Value 1,Value 11,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1173,Create SW anomaly,Value 2,2010/07/06 10:36:50.000,Variant 123,123,Variant 123,Value 1,Value 11,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1173,Resolve ticket,Value 2,2010/07/12 08:37:51.000,Variant 123,123,Variant 123,Value 1,Value 11,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1173,Take in charge ticket,Value 2,2010/07/14 14:02:02.000,Variant 123,123,Variant 123,Value 1,Value 11,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1173,Resolve ticket,Value 2,2010/07/15 10:19:02.000,Variant 123,123,Variant 123,Value 1,Value 11,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1180,Assign seriousness,Value 19,2010/07/01 14:30:32.000,Variant 3,3,Variant 3,Value 1,Value 269,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1183,Assign seriousness,Value 19,2010/07/08 15:35:41.000,Variant 3,3,Variant 3,Value 1,Value 86,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1183,Take in charge ticket,Value 9,2010/07/08 15:41:10.000,Variant 3,3,Variant 3,Value 1,Value 86,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1183,Wait,Value 9,2010/07/08 15:41:22.000,Variant 3,3,Variant 3,Value 1,Value 86,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1183,Take in charge ticket,Value 9,2010/07/09 08:38:50.000,Variant 3,3,Variant 3,Value 1,Value 86,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1183,Resolve ticket,Value 9,2010/07/09 08:38:59.000,Variant 3,3,Variant 3,Value 1,Value 86,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1184,Assign seriousness,Value 2,2010/05/20 13:58:47.000,Variant 1,1,Variant 1,Value 1,Value 149,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1184,Take in charge ticket,Value 2,2010/05/26 16:12:55.000,Variant 1,1,Variant 1,Value 1,Value 149,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1184,Resolve ticket,Value 2,2010/05/26 16:14:20.000,Variant 1,1,Variant 1,Value 1,Value 149,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1191,Assign seriousness,Value 16,2010/02/08 15:06:58.000,Variant 3,3,Variant 3,Value 1,Value 9,Value 9,Value 2,Value 2,Value 2,Value 2,Value 3,Value 2
Case 1191,Take in charge ticket,Value 16,2010/02/08 15:12:00.000,Variant 3,3,Variant 3,Value 1,Value 9,Value 9,Value 2,Value 2,Value 2,Value 2,Value 3,Value 2
Case 1191,Wait,Value 16,2010/02/08 15:12:28.000,Variant 3,3,Variant 3,Value 1,Value 9,Value 9,Value 2,Value 2,Value 2,Value 2,Value 3,Value 2
Case 1191,Take in charge ticket,Value 12,2010/02/25 16:56:34.000,Variant 3,3,Variant 3,Value 1,Value 9,Value 9,Value 2,Value 2,Value 2,Value 2,Value 3,Value 2
Case 1191,Resolve ticket,Value 12,2010/02/26 09:09:32.000,Variant 3,3,Variant 3,Value 1,Value 9,Value 9,Value 2,Value 2,Value 2,Value 2,Value 3,Value 2
Case 1196,Assign seriousness,Value 2,2010/02/02 10:17:37.000,Variant 1,1,Variant 1,Value 1,Value 126,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case 1196,Take in charge ticket,Value 10,2010/02/15 16:21:37.000,Variant 1,1,Variant 1,Value 1,Value 126,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case 1196,Resolve ticket,Value 10,2010/02/15 16:22:30.000,Variant 1,1,Variant 1,Value 1,Value 126,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case 1204,Assign seriousness,Value 9,2010/06/30 09:08:26.000,Variant 27,27,Variant 27,Value 1,Value 27,Value 3,Value 4,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1204,Take in charge ticket,Value 9,2010/07/29 13:25:46.000,Variant 27,27,Variant 27,Value 1,Value 27,Value 3,Value 4,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1204,Wait,Value 9,2010/07/29 13:38:22.000,Variant 27,27,Variant 27,Value 1,Value 27,Value 3,Value 4,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1211,Assign seriousness,Value 6,2010/05/24 12:25:24.000,Variant 4,4,Variant 4,Value 1,Value 65,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1211,Assign seriousness,Value 2,2010/06/04 13:04:07.000,Variant 4,4,Variant 4,Value 1,Value 65,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1211,Take in charge ticket,Value 2,2010/06/04 13:04:18.000,Variant 4,4,Variant 4,Value 1,Value 65,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1211,Resolve ticket,Value 2,2010/06/04 13:05:47.000,Variant 4,4,Variant 4,Value 1,Value 65,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1218,Assign seriousness,Value 9,2010/07/28 16:07:39.000,Variant 3,3,Variant 3,Value 1,Value 75,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 1223,Assign seriousness,Value 2,2010/01/26 11:36:21.000,Variant 9,9,Variant 9,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1223,Take in charge ticket,Value 2,2010/01/26 11:36:30.000,Variant 9,9,Variant 9,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1223,Resolve ticket,Value 2,2010/01/26 16:06:29.000,Variant 9,9,Variant 9,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1223,Take in charge ticket,Value 2,2010/01/27 14:28:58.000,Variant 9,9,Variant 9,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1223,Resolve ticket,Value 2,2010/02/08 11:54:13.000,Variant 9,9,Variant 9,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1245,Assign seriousness,Value 15,2010/03/11 14:28:06.000,Variant 124,124,Variant 124,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1245,Take in charge ticket,Value 15,2010/03/15 10:14:59.000,Variant 124,124,Variant 124,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1245,Wait,Value 15,2010/03/15 10:15:11.000,Variant 124,124,Variant 124,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1245,Take in charge ticket,Value 15,2010/03/23 08:27:31.000,Variant 124,124,Variant 124,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1245,Resolve ticket,Value 15,2010/03/23 08:27:39.000,Variant 124,124,Variant 124,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1245,Take in charge ticket,Value 15,2010/03/23 14:37:15.000,Variant 124,124,Variant 124,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1245,Wait,Value 15,2010/03/23 14:37:26.000,Variant 124,124,Variant 124,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1245,Take in charge ticket,Value 2,2010/03/24 11:28:29.000,Variant 124,124,Variant 124,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1245,Create SW anomaly,Value 2,2010/03/24 11:28:37.000,Variant 124,124,Variant 124,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1245,Resolve ticket,Value 15,2010/04/07 08:18:56.000,Variant 124,124,Variant 124,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1245,Take in charge ticket,Value 15,2010/04/13 08:14:05.000,Variant 124,124,Variant 124,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1245,Resolve ticket,Value 15,2010/04/13 08:16:05.000,Variant 124,124,Variant 124,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1247,Assign seriousness,Value 9,2010/07/28 10:24:44.000,Variant 3,3,Variant 3,Value 1,Value 27,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1247,Take in charge ticket,Value 9,2010/07/29 09:04:00.000,Variant 3,3,Variant 3,Value 1,Value 27,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1247,Wait,Value 9,2010/07/29 09:04:40.000,Variant 3,3,Variant 3,Value 1,Value 27,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1253,Assign seriousness,Value 2,2010/04/28 13:42:14.000,Variant 1,1,Variant 1,Value 1,Value 18,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1253,Take in charge ticket,Value 2,2010/05/21 07:57:24.000,Variant 1,1,Variant 1,Value 1,Value 18,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1253,Resolve ticket,Value 2,2010/05/21 08:04:28.000,Variant 1,1,Variant 1,Value 1,Value 18,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1257,Assign seriousness,Value 2,2010/02/23 13:17:01.000,Variant 1,1,Variant 1,Value 1,Value 63,Value 3,Value 5,Value 2,Value 2,Value 1,Value 4,Value 1
Case 1257,Take in charge ticket,Value 2,2010/02/23 13:17:09.000,Variant 1,1,Variant 1,Value 1,Value 63,Value 3,Value 5,Value 2,Value 2,Value 1,Value 4,Value 1
Case 1257,Resolve ticket,Value 2,2010/02/23 13:18:28.000,Variant 1,1,Variant 1,Value 1,Value 63,Value 3,Value 5,Value 2,Value 2,Value 1,Value 4,Value 1
Case 1266,Assign seriousness,Value 6,2010/07/29 09:57:56.000,Variant 1,1,Variant 1,Value 1,Value 30,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 1266,Take in charge ticket,Value 6,2010/07/29 13:21:09.000,Variant 1,1,Variant 1,Value 1,Value 30,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 1266,Resolve ticket,Value 6,2010/07/29 13:21:29.000,Variant 1,1,Variant 1,Value 1,Value 30,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 1277,Assign seriousness,Value 2,2010/03/29 13:48:03.000,Variant 1,1,Variant 1,Value 1,Value 280,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case 1277,Take in charge ticket,Value 15,2010/03/31 11:02:09.000,Variant 1,1,Variant 1,Value 1,Value 280,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case 1277,Resolve ticket,Value 15,2010/04/07 08:13:24.000,Variant 1,1,Variant 1,Value 1,Value 280,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case 1282,Insert ticket,Value 5,2010/07/01 12:14:34.000,Variant 41,41,Variant 41,Value 1,Value 35,Value 3,Value 1,Value 3,Value 4,Value 2,Value 1,Value 2
Case 1282,Assign seriousness,Value 2,2010/07/01 12:32:08.000,Variant 41,41,Variant 41,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 2,Value 1,Value 2
Case 1282,Assign seriousness,Value 2,2010/07/02 08:53:50.000,Variant 41,41,Variant 41,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 2,Value 1,Value 2
Case 1282,Take in charge ticket,Value 6,2010/07/02 12:24:18.000,Variant 41,41,Variant 41,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 2,Value 1,Value 2
Case 1282,Wait,Value 6,2010/07/02 12:24:33.000,Variant 41,41,Variant 41,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 2,Value 1,Value 2
Case 1282,Take in charge ticket,Value 6,2010/07/29 08:22:16.000,Variant 41,41,Variant 41,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 2,Value 1,Value 2
Case 1282,Resolve ticket,Value 6,2010/07/29 08:22:33.000,Variant 41,41,Variant 41,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 2,Value 1,Value 2
Case 1283,Assign seriousness,Value 2,2010/05/17 14:50:31.000,Variant 1,1,Variant 1,Value 1,Value 86,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1283,Take in charge ticket,Value 2,2010/05/25 09:00:26.000,Variant 1,1,Variant 1,Value 1,Value 86,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1283,Resolve ticket,Value 2,2010/05/25 09:00:37.000,Variant 1,1,Variant 1,Value 1,Value 86,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1284,Insert ticket,Value 15,2010/05/27 14:14:04.000,Variant 7,7,Variant 7,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 1284,Assign seriousness,Value 11,2010/05/27 15:48:06.000,Variant 7,7,Variant 7,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 1284,Take in charge ticket,Value 11,2010/05/27 15:48:15.000,Variant 7,7,Variant 7,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 1284,Resolve ticket,Value 11,2010/05/28 09:28:19.000,Variant 7,7,Variant 7,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 1322,Assign seriousness,Value 16,2010/06/04 09:44:39.000,Variant 3,3,Variant 3,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 1
Case 1322,Take in charge ticket,Value 16,2010/06/04 10:42:32.000,Variant 3,3,Variant 3,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 1
Case 1322,Wait,Value 16,2010/06/04 10:42:52.000,Variant 3,3,Variant 3,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 1
Case 1322,Take in charge ticket,Value 16,2010/06/21 16:34:06.000,Variant 3,3,Variant 3,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 1
Case 1322,Resolve ticket,Value 16,2010/06/21 16:34:13.000,Variant 3,3,Variant 3,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 1
Case 1328,Assign seriousness,Value 2,2010/02/22 15:00:57.000,Variant 3,3,Variant 3,Value 1,Value 57,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 1
Case 1328,Take in charge ticket,Value 2,2010/02/22 15:01:16.000,Variant 3,3,Variant 3,Value 1,Value 57,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 1
Case 1328,Wait,Value 2,2010/02/23 15:52:23.000,Variant 3,3,Variant 3,Value 1,Value 57,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 1
Case 1328,Take in charge ticket,Value 2,2010/02/24 09:50:30.000,Variant 3,3,Variant 3,Value 1,Value 57,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 1
Case 1328,Resolve ticket,Value 2,2010/02/24 10:29:49.000,Variant 3,3,Variant 3,Value 1,Value 57,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 1
Case 1333,Assign seriousness,Value 15,2010/06/01 07:53:51.000,Variant 3,3,Variant 3,Value 1,Value 8,Value 3,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1
Case 1333,Take in charge ticket,Value 16,2010/06/04 09:16:54.000,Variant 3,3,Variant 3,Value 1,Value 8,Value 3,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1
Case 1333,Wait,Value 16,2010/06/04 12:12:27.000,Variant 3,3,Variant 3,Value 1,Value 8,Value 3,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1
Case 1333,Take in charge ticket,Value 16,2010/06/09 11:47:56.000,Variant 3,3,Variant 3,Value 1,Value 8,Value 3,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1
Case 1333,Resolve ticket,Value 16,2010/06/09 11:48:04.000,Variant 3,3,Variant 3,Value 1,Value 8,Value 3,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1
Case 1340,Assign seriousness,Value 2,2010/07/27 13:32:52.000,Variant 1,1,Variant 1,Value 1,Value 45,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1340,Take in charge ticket,Value 11,2010/07/27 13:41:21.000,Variant 1,1,Variant 1,Value 1,Value 45,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1340,Resolve ticket,Value 11,2010/07/27 13:41:28.000,Variant 1,1,Variant 1,Value 1,Value 45,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1351,Insert ticket,Value 5,2010/06/10 07:24:28.000,Variant 7,7,Variant 7,Value 1,Value 35,Value 3,Value 1,Value 3,Value 4,Value 2,Value 1,Value 2
Case 1351,Assign seriousness,Value 12,2010/06/10 11:14:25.000,Variant 7,7,Variant 7,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 2,Value 1,Value 2
Case 1351,Take in charge ticket,Value 2,2010/06/17 12:41:37.000,Variant 7,7,Variant 7,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 2,Value 1,Value 2
Case 1351,Resolve ticket,Value 12,2010/07/01 09:20:34.000,Variant 7,7,Variant 7,Value 1,Value 35,Value 3,Value 1,Value 2,Value 3,Value 2,Value 1,Value 2
Case 1352,Assign seriousness,Value 2,2010/02/17 15:36:36.000,Variant 1,1,Variant 1,Value 1,Value 38,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3
Case 1352,Take in charge ticket,Value 2,2010/02/18 14:17:36.000,Variant 1,1,Variant 1,Value 1,Value 38,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3
Case 1352,Resolve ticket,Value 2,2010/02/18 14:17:42.000,Variant 1,1,Variant 1,Value 1,Value 38,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3
Case 1367,Assign seriousness,Value 2,2010/04/26 10:34:05.000,Variant 1,1,Variant 1,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1367,Take in charge ticket,Value 16,2010/05/04 13:19:40.000,Variant 1,1,Variant 1,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1367,Resolve ticket,Value 16,2010/05/04 13:20:37.000,Variant 1,1,Variant 1,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1373,Assign seriousness,Value 2,2010/04/09 07:37:43.000,Variant 4,4,Variant 4,Value 1,Value 62,Value 3,Value 6,Value 1,Value 1,Value 1,Value 5,Value 3
Case 1373,Assign seriousness,Value 2,2010/04/14 15:09:55.000,Variant 4,4,Variant 4,Value 1,Value 62,Value 3,Value 6,Value 1,Value 1,Value 1,Value 5,Value 3
